Customer_ID,First_Name,Last_Name,Age,Phone_Number,Monthly_Salary,Approved_Limit,Current_Debt
4048,Alethea,Bravo,48,9166978798,128000,2300000,1259845
1737,Alethia,Gallardo,26,9566370655,61000,5000000,4978423
1336,Alex,Rojas,54,9188818547,126000,1600000,1590616
7926,Alexa,Pardo,24,9323499370,220000,3000000,2637477
8338,Alexander,Merino,25,9374095164,72000,2700000,2545027
6092,Alexandra,Franco,28,9753274093,183000,3300000,237360
2104,Alexandria,Espinosa,56,9127076732,228000,2400000,1801554
3126,Alexia,Lara,39,9532197189,270000,2200000,1832461
6800,Alexis,Izquierdo,55,9735221602,210000,1100000,816835
4205,Alfonso,Rivas,60,9705098042,179000,1800000,507554
3192,Alfonzo,Rivera,43,9686191215,160000,2200000,87059
5231,Alfred,Silva,32,9181911447,83000,4100000,3802415
3479,Alfreda,Casado,33,9496701237,82000,2100000,416656
1796,Alfredia,Arroyo,42,9507833646,254000,1600000,1071864
3819,Alfredo,Redondo,62,9400932820,109000,3500000,77480
6887,Ali,Camacho,62,9418043666,133000,3300000,358519
9377,Alia,Vera,25,9825891714,286000,1400000,1194480
2405,Alica,Rey,40,9622353299,56000,2600000,1734717
6625,Alice,Otero,57,9651800595,295000,4800000,1733459
4000,Alicia,Luque,55,9432594533,142000,3400000,3185647
2715,Alida,Galan,65,9797193032,66000,2800000,2578793
4254,Alina,Montes,38,9787338247,65000,1800000,1065892
6387,Aline,Rios,56,9931069853,35000,3300000,734003
2622,Alisa,Sierra,49,9553301335,185000,2600000,2176341
4140,Alise,Segura,47,9435660957,111000,3900000,3062938
2104,Alisha,Carrillo,39,9358282814,296000,2200000,459236
6768,Alishia,Marcos,42,9602750181,66000,4700000,1168849
1926,Alisia,Marti,32,9238590504,187000,2600000,2354198
6095,Alison,Soriano,25,9271505723,298000,2200000,451337
1600,Alissa,Mendoza,50,9113529525,156000,2300000,1877538
4812,Alita,Bernal,59,9466876139,80000,4200000,1362534
2397,Alix,Robles,28,9147382619,82000,1500000,597104
4690,Aliza,Vila,54,9514797279,137000,2300000,368874
3128,Alla,Valero,67,9646696515,85000,1500000,1197199
8812,Allan,Palacios,54,9712913338,62000,3800000,3061199
4165,Alleen,Exposito,21,9877268337,226000,2000000,1981690
1011,Allegra,Benito,60,9874514960,35000,3100000,629212
7965,Allen,Varela,69,9613876405,207000,3100000,2237363
2311,Allena,Andres,42,9382806265,149000,3300000,326818
5524,Allene,Macias,66,9246753642,67000,3800000,1027541
4530,Allie,Pereira,44,9445865951,38000,2000000,1888214
9930,Alline,Guerra,33,9849527399,188000,2200000,147576
3217,Allison,Heredia,55,9108426917,117000,1800000,895363
6091,Allyn,Bueno,51,9151744928,145000,3500000,3069420
1118,Allyson,Roldan,33,9332615028,126000,1100000,365762
6551,Alma,Mateo,38,9728766910,206000,4900000,1356951
7327,Almeda,Villar,32,9974670955,160000,4700000,1374018
6136,Almeta,Contreras,54,9710283227,254000,2700000,2061159
6341,Alona,Miranda,58,9799331943,253000,4700000,572574
4368,Alonso,Guillen,70,9212915606,220000,1600000,242529
6649,Alonzo,Mateos,40,9449095187,93000,2000000,30850
2502,Alpha,Escudero,63,9969294698,149000,2800000,2700863
7655,Alphonse,Aguilera,27,9722591656,157000,3100000,2885412
7940,Alphonso,Casas,64,9141726068,250000,4800000,1527262
3384,Alta,Menendez,34,9887886049,291000,4300000,2808873
5780,Altagracia,Aparicio,62,9320321242,215000,3100000,537864
3223,Altha,Rivero,31,9475534315,52000,2700000,1761848
3577,Althea,Estevez,29,9179384063,126000,1100000,109455
2431,Alton,Beltran,41,9337276177,189000,1100000,141419
3770,Alva,Padilla,59,9827444359,235000,4000000,240689
1942,Alvaro,Calderon,38,9323617366,197000,3400000,2883418
6866,Alvera,Rico,51,9704581467,163000,1900000,1171884
9617,Alverta,Gracia,31,9135078377,204000,1100000,733972
4174,Alvin,Galvez,69,9363267543,282000,2800000,2167323
9498,Alvina,Abad,38,9451186595,135000,2800000,1488604
5700,Alyce,Conde,29,9643464078,286000,2900000,2153882
5519,Alycia,Salas,50,9316384637,129000,1500000,1472956
2181,Alysa,Jurado,42,9201326304,58000,1800000,667309
3013,Alyse,Quintana,41,9481659601,47000,3300000,1225949
1551,Alysha,Plaza,26,9641961065,142000,2500000,2213493
2408,Alysia,Acosta,27,9380264639,194000,4800000,1481976
3569,Alyson,Aranda,45,9525136195,178000,3800000,1586472
3397,Alyssa,Blazquez,22,9964508328,111000,3000000,2648889
4228,Amada,Bermudez,63,9521112531,138000,3800000,104446
5362,Amado,Roca,35,9889502231,260000,800000,450154
8959,Amal,Salazar,44,9401771136,222000,4600000,3278168
5852,Amalia,Costa,40,9882495478,183000,3900000,1296388
5857,Amanda,Santamaria,22,9732443173,207000,2300000,2231377
6669,Amber,Miguel,69,9910185838,107000,2400000,2147973
5381,Amberly,Guzman,57,9800339036,137000,2800000,464481
4668,Ambrose,Serra,23,9189346724,134000,2700000,607975
1680,Amee,Villanueva,65,9434796450,50000,1500000,777123
6755,Amelia,Manzano,33,9462575278,189000,4100000,3715504
2213,America,Cuesta,56,9213807132,288000,3900000,3221741
1789,Ami,Tomas,57,9942105069,61000,2100000,1279874
6139,Amie,Hurtado,28,9220299612,294000,2100000,1288044
8855,Amiee,Rueda,43,9282430141,106000,4300000,2966324
4372,Amina,Trujillo,26,9117895864,154000,4500000,3025480
1474,Amira,Avila,22,9766809898,117000,4400000,2504426
3327,Ammie,Pacheco,39,9285592769,34000,4900000,1613371
4866,Amos,Simon,26,9229411461,107000,3300000,1120828
5038,Amparo,De La Fuente,36,9904125266,197000,4200000,1658075
4657,Amy,Pons,21,9525562036,264000,3700000,2776422
6469,An,Lazaro,39,9878621805,218000,1200000,102029
2342,Ana,Mesa,65,9953004088,231000,2600000,2363501
2445,Anabel,Sancho,49,9344895758,292000,1500000,1472707
5093,Analisa,Del Rio,55,9847471634,240000,3800000,2622265
8836,Anamaria,Escobar,65,9775138358,159000,4100000,1181467
8067,Anastacia,Millan,69,9151416579,84000,4400000,2217851
2947,Anastasia,Blasco,24,9700368897,165000,4500000,1644683
2101,Andera,Alarcon,47,9233639894,35000,3300000,822737
1647,Anderson,Luna,50,9831106184,72000,4300000,1116945
4594,Andra,Zamora,67,9512891717,132000,3700000,505621
4561,Andre,Castaño,59,9409193879,257000,1400000,765879
2661,Andrea,Salvador,66,9230856699,160000,1900000,1540886
9976,Andreas,Bermejo,39,9404295289,127000,1600000,961763
6808,Andree,Paredes,64,9546474790,50000,4700000,2256704
2410,Andres,Anton,46,9423711581,61000,4000000,2942795
8248,Andrew,Ballesteros,47,9286300384,101000,2100000,1783652
7733,Andria,Valverde,66,9578800227,210000,4700000,4616617
6858,Andy,Maldonado,21,9961709322,37000,2200000,332140
8548,Anette,Bautista,29,9792613387,284000,4700000,3667196
1544,Angel,Valle,42,9975548297,129000,3400000,164355
6020,Angela,Ponce,54,9809832965,93000,1900000,1549345
6659,Angele,Oliva,22,9907227554,243000,1700000,1072748
1600,Angelena,Rodrigo,62,9717190489,240000,1900000,155010
7650,Angeles,Lorente,50,9545243694,285000,4200000,616967
5211,Angelia,Cordero,68,9630396318,38000,4700000,3391689
7179,Angelic,Juan,68,9761418031,223000,2200000,1771283
2080,Angelica,De La Cruz,24,9606056493,182000,1200000,112461
3570,Angelika,Mas,47,9317388805,34000,1900000,181570
2283,Angelina,Collado,54,9317060744,161000,4900000,1236487
9282,Angeline,Murillo,27,9562423937,134000,2100000,617783
9571,Angelique,Pozo,30,9593407816,68000,1300000,1263632
1800,Angelita,Montoya,20,9445413160,147000,2600000,12325
2737,Angella,Cuenca,36,9506339628,151000,1000000,844817
3100,Angelo,Cuevas,45,9632141575,176000,4800000,2272910
7263,Angelyn,Martos,54,9363893652,185000,800000,303137
5143,Angie,Marco,20,9740153812,102000,4600000,4465443
8604,Angila,Barroso,67,9348283339,192000,4800000,3492279
6491,Angla,Ros,66,9525270367,120000,1200000,414445
4428,Angle,Quesada,32,9320289803,117000,2800000,59915
3610,Anglea,De La Torre,32,9209824831,172000,1400000,301875
6795,Anh,Barrera,69,9438790371,109000,1900000,961897
1554,Anibal,Ordoñez,42,9914415599,187000,4700000,3469955
7251,Anika,Gimeno,31,9906529352,262000,4300000,329507
7130,Anisa,Alba,32,9992247608,138000,2300000,696755
7575,Anisha,Corral,51,9308349212,141000,2000000,1548675
6653,Anissa,Puig,50,9651785037,240000,4800000,2572106
4365,Anita,Cabello,64,9505917637,264000,4300000,3283852
4113,Anitra,Pulido,54,9437880477,85000,3300000,663275
3814,Anja,Rojo,38,9831684307,231000,1300000,169424
1289,Anjanette,Navas,39,9881414926,126000,1100000,281809
2500,Anjelica,Saiz,29,9993219098,72000,3200000,3192547
4248,Ann,Arenas,21,9114155672,81000,4400000,2634552
5899,Anna,Aguado,49,9999757819,111000,2500000,2374438
9903,Annabel,Soria,48,9490132408,250000,2900000,1221462
1419,Annabell,Domingo,53,9744129141,170000,3400000,1567063
8953,Annabelle,Galindo,36,9527557533,175000,2500000,226052
7419,Annalee,Mena,64,9507039105,189000,2500000,1691130
4451,Annalisa,Escribano,35,9235465741,54000,1300000,141626
7118,Annamae,Vallejo,20,9520954671,143000,1700000,935011
7708,Annamaria,Valencia,68,9120189951,165000,2600000,1517205
3056,Annamarie,Asensio,43,9772698915,65000,4700000,1848730
7492,Anne,Ramon,67,9486625000,45000,2400000,58242
2534,Anneliese,Lucas,23,9723576704,204000,3800000,2451651
1866,Annelle,Caro,21,9828481296,266000,4400000,2439160
4999,Annemarie,Polo,27,9166250716,250000,1500000,711299
6943,Annett,Chen,53,9167784356,221000,2800000,2488217
5923,Annetta,Aguirre,35,9247752157,109000,3600000,1106992
1905,Annette,Naranjo,60,9757972808,48000,4500000,4275806
9800,Annice,Amador,49,9116409106,236000,1200000,1278
4664,Annie,Villalba,28,9836257121,82000,1700000,1421984
9303,Annika,Mata,24,9691216518,209000,3200000,2137408
2239,Annis,Reina,27,9298388045,112000,1700000,637931
2509,Annita,Paz,26,9102190008,57000,1000000,530057
1575,Annmarie,Moran,60,9480022732,98000,3900000,1379437
8511,Anthony,Linares,30,9405972517,123000,1100000,908682
4077,Antione,Ojeda,56,9541658903,108000,1700000,1092600
4531,Antionette,Leal,20,9228631557,212000,4300000,1237651
2930,Antoine,Burgos,32,9213995694,58000,1900000,1581807
4655,Antoinette,Carretero,62,9178620988,285000,4200000,2244980
1812,Anton,Oliver,26,9956598054,227000,3200000,832581
4075,Antone,Bonilla,47,9345234695,260000,1800000,1799613
1990,Antonetta,Sosa,40,9405872422,214000,4200000,901551
4884,Antonette,Roig,57,9518976383,115000,2700000,2351331
3333,Antonia,Aragon,62,9547709205,215000,1200000,891474
5917,Antonietta,Carrion,44,9899647979,81000,5000000,780530
2751,Antonina,Clemente,28,9666830297,46000,1400000,138460
6541,Antonio,Villa,29,9984306813,214000,2900000,1408413
8573,Antony,Castellano,40,9819261784,75000,3100000,2834703
7966,Antwan,Cordoba,59,9443939782,116000,3500000,904244
7542,Anya,Carrera,50,9874876902,185000,1700000,1573829
9828,Apolonia,Hernando,24,9887567962,217000,4100000,2617843
7073,April,Rosa,56,9420633068,38000,1100000,984915
8842,Apryl,Andreu,56,9938512409,228000,2500000,1280231
8752,Ara,Caceres,29,9697148952,135000,3600000,2507803
2402,Araceli,Mohamed,30,9651985884,249000,2000000,1710448
2424,Aracelis,Calero,33,9798534191,111000,3400000,785555
6390,Aracely,Cardenas,34,9492301818,250000,4500000,4204215
3614,Arcelia,Cobo,53,9860490835,145000,2200000,1694752
9272,Archie,Correa,21,9191616203,287000,3800000,962398
1316,Ardath,Juarez,25,9170005981,32000,2300000,1449885
8705,Ardelia,Velazquez,30,9100608966,136000,2600000,2316689
4037,Ardell,Alcaraz,21,9212845059,160000,3600000,3383777
3383,Ardella,Chacon,51,9296412860,274000,2900000,821659
2311,Ardelle,Ferreira,25,9169200783,177000,3900000,103682
3363,Arden,Sola,69,9647665813,148000,4200000,541628
1392,Ardis,Domenech,56,9757942407,35000,1000000,585766
1250,Ardith,Zapata,40,9249491764,94000,2400000,888445
6342,Aretha,Riera,61,9124680892,188000,2900000,2147630
1047,Argelia,Saavedra,30,9614182220,85000,4100000,3107117
8604,Argentina,Toledo,46,9506356490,112000,5000000,259413
